Variable;Population ayant un emploi au total;dont: Salariés;dont: Non-Salariés;Chômeurs;Population active;Taux de chômage (en %)
Dippach;1780;1620;160;106;1886;5,620360551
Garnich;870;780;90;29;899;3,225806452
Hobscheid;1470;1350;120;73;1543;4,731043422
Käerjeng;4130;3820;310;260;4390;5,922551253
Kehlen;2170;1910;260;80;2250;3,555555556
Koerich;1050;920;130;41;1091;3,758020165
Kopstal;1300;1100;200;72;1372;5,247813411
Mamer;3140;2770;370;169;3309;5,107283167
Septfontaines;370;320;50;26;396;6,565656566
Steinfort;2030;1840;190;132;2162;6,105457909
Bettembourg;4280;3970;310;308;4588;6,713164778
Differdange;10210;9800;410;1317;11527;11,42534918
Dudelange;8240;7760;480;768;9008;8,525754885
Esch-sur-Alzette;13310;12600;710;2031;15341;13,23903266
Frisange;2000;1830;170;120;2120;5,660377358
Kayl;3680;3480;200;300;3980;7,537688442
Leudelange;1130;980;150;41;1171;3,501280956
Mondercange;2730;2470;260;136;2866;4,745289602
Pétange;7290;6920;370;725;8015;9,045539613
Reckange-sur-Mess;980;850;130;32;1012;3,162055336
Roeser;2750;2510;240;140;2890;4,844290657
Rumelange;2130;2030;100;269;2399;11,21300542
Sanem;6600;6230;370;512;7112;7,199100112
Schifflange;4000;3800;200;377;4377;8,613205392
Bertrange;2970;2620;350;168;3138;5,353728489
Contern;1420;1270;150;69;1489;4,633982539
Hesperange;6160;5550;610;383;6543;5,853583983
Luxembourg;41650;37510;4140;3571;45221;7,896773623
Niederanven;1920;1600;320;93;2013;4,619970194
Sandweiler;1380;1240;140;75;1455;5,154639175
Schuttrange;1440;1270;170;70;1510;4,635761589
Steinsel;1950;1740;210;107;2057;5,201750122
Strassen;3190;2850;340;202;3392;5,955188679
Walferdange;3110;2790;320;226;3336;6,774580336
Weiler-la-Tour;950;870;80;36;986;3,651115619
Bissen;1310;1230;80;81;1391;5,823148814
Boevange-sur-Attert;1000;900;100;39;1039;3,75360924
Colmar-Berg;960;910;50;62;1022;6,066536204
Fischbach;590;530;60;26;616;4,220779221
Heffingen;580;520;60;21;601;3,494176373
Larochette;950;880;70;80;1030;7,766990291
Lintgen;1320;1230;90;82;1402;5,848787447
Lorentzweiler;1460;1340;120;72;1532;4,699738903
Mersch;3950;3690;260;272;4222;6,442444339
Nommern;630;550;80;32;662;4,833836858
Tuntange;690;620;70;32;722;4,432132964
Clervaux;2130;1890;240;217;2347;9,245845761
Parc Hosingen;1490;1340;150;101;1591;6,348208674
Troisvierges;1360;1200;160;113;1473;7,671418873
Weiswampach;780;670;110;65;845;7,692307692
Wincrange;1860;1530;330;108;1968;5,487804878
Bettendorf;1130;1040;90;90;1220;7,37704918
Bourscheid;710;630;80;71;781;9,090909091
Diekirch;2760;2560;200;277;3037;9,120842937
Erpeldange-sur-Sûre;1020;930;90;62;1082;5,73012939
Ettelbruck;3390;3140;250;441;3831;11,51135474
Feulen;880;810;70;54;934;5,781584582
Mertzig;930;870;60;48;978;4,90797546
Reisdorf;480;430;50;69;549;12,56830601
Schieren;890;830;60;59;949;6,217070601
Vallée de l'Ernz;1180;1050;130;76;1256;6,050955414
Beckerich;1030;930;100;54;1084;4,981549815
Ell;560;490;70;25;585;4,273504274
Grosbous;470;420;50;40;510;7,843137255
Préizerdaul;740;670;70;37;777;4,761904762
Rambrouch;1690;1440;250;160;1850;8,648648649
Redange-sur-Attert;1110;990;120;57;1167;4,884318766
Saeul;330;290;40;19;349;5,444126074
Useldange;800;720;80;37;837;4,420549582
Vichten;570;530;40;37;607;6,095551895
Wahl;400;340;60;28;428;6,542056075
Putscheid;480;450;30;20;500;4
Tandel;910;810;100;59;969;6,08875129
Vianden;810;730;80;93;903;10,29900332
Boulaide;480;420;60;26;506;5,138339921
Esch-sur-Sûre;1080;970;110;79;1159;6,81622088
Goesdorf;690;620;70;48;738;6,504065041
Kiischpelt;450;400;50;37;487;7,597535934
Lac de la Haute-Sûre;710;610;100;58;768;7,552083333
Wiltz;2450;2270;180;321;2771;11,58426561
Winseler;490;400;90;36;526;6,844106464
Beaufort;1110;1030;80;131;1241;10,55600322
Bech;520;450;70;14;534;2,621722846
Berdorf;690;610;80;77;767;10,03911343
Consdorf;820;720;100;42;862;4,872389791
Echternach;2120;1910;210;216;2336;9,246575342
Mompach;530;480;50;25;555;4,504504505
Rosport;940;810;130;54;994;5,432595573
Waldbillig;780;720;60;54;834;6,474820144
Betzdorf;1490;1350;140;52;1542;3,372243839
Biwer;740;650;90;30;770;3,896103896
Flaxweiler;900;810;90;30;930;3,225806452
Grevenmacher;2040;1890;150;141;2181;6,464924347
Junglinster;3040;2740;300;123;3163;3,888713247
Manternach;790;710;80;34;824;4,126213592
Mertert;1830;1690;140;158;1988;7,947686117
Wormeldange;1210;1050;160;73;1283;5,689789556
Bous;750;680;70;22;772;2,849740933
Dalheim;880;780;100;49;929;5,274488698
Lenningen;780;720;60;49;829;5,910735826
Mondorf-les-Bains;1910;1730;180;173;2083;8,305328853
Remich;1430;1250;180;120;1550;7,741935484
Schengen;2090;1830;260;83;2173;3,819604234
Stadtbredimus;840;750;90;51;891;5,723905724
Waldbredimus;440;380;60;20;460;4,347826087
