,Niveau 1 de la CITE Enseignement primaire_(niveau le plus élevé atteint),Niveau 2 de la CITE Premier cycle de l'enseignement secondaire_(niveau le plus élevé atteint),Niveau 3 de la CITE Deuxième cylce de l'enseignement secondaire_(niveau le plus élevé atteint),Niveau 4 de la CITE Enseignement post-secondaire non tertiaire_(niveau le plus élevé atteint),Niveau 5 de la CITE Premier cycle de l'enseignement supérieur_(niveau le plus élevé atteint),Niveau 6  de la CITE Deuxième cycle de l'enseignement supérieur_(niveau le plus élevé atteint),Non indiqué_(niveau le plus élevé atteint),Total_(niveau le plus élevé atteint),
Luxembourg,"7,432","5,064","12,922",806,"20,652","1,925","26,625","75,426",
Bascharage,978,735,"1,970",152,824,44,920,"5,623",
Clemency,253,194,563,52,272,8,213,"1,555",
Dippach,374,298,909,75,541,46,361,"2,604",
Garnich,157,162,508,54,336,12,91,"1,320",
Hobscheid,342,297,789,70,421,18,330,"2,267",
Kehlen,275,375,"1,267",106,"1,086",73,493,"3,675",
Koerich,177,182,606,42,319,25,232,"1,583",
Kopstal,169,163,538,57,823,81,384,"2,215",
Mamer,603,521,"1,701",140,"1,619",101,786,"5,471",
Septfontaines,73,67,193,22,114,5,82,556,
Steinfort,452,391,"1,079",79,659,31,500,"3,191",
Bettembourg,"1,262",978,"2,302",171,935,53,"1,579","7,280",
Differdange,"5,130","2,666","4,371",280,"1,038",57,"2,298","15,840",
Dudelange,"3,233","1,910","4,304",293,"1,566",104,"2,701","14,111",
Esch-Alzette,"5,948","3,549","5,789",303,"2,106",208,"5,018","22,921",
Frisange,334,338,"1,003",77,531,29,495,"2,807",
Kayl,"1,312",796,"1,822",127,531,24,"1,112","5,724",
Leudelange,130,151,528,46,446,31,268,"1,600",
Mondercange,683,620,"1,788",151,776,62,575,"4,655",
Pétange,"2,696","1,847","3,586",212,988,40,"2,424","11,793",
Reckange,159,135,563,66,380,32,208,"1,543",
Roeser,531,482,"1,474",117,782,43,625,"4,054",
Rumelange,857,518,"1,080",41,244,9,885,"3,634",
Sanem,"2,167","1,472","3,810",276,"1,171",61,"1,775","10,732",
Schifflange,"1,486",908,"2,084",135,611,33,"1,323","6,580",
Bertrange,450,404,"1,319",95,"1,533",135,579,"4,515",
Contern,206,221,873,60,675,45,355,"2,435",
Hesperange,"1,118",997,"2,897",200,"2,981",196,"1,769","10,158",
Niederanven,381,307,"1,115",96,"1,338",146,557,"3,940",
Sandweiler,264,198,713,67,676,32,308,"2,258",
Schuttrange,165,193,727,72,795,52,732,"2,736",
Steinsel,378,332,"1,040",103,"1,000",74,503,"3,430",
Strassen,496,451,"1,421",103,"2,025",182,839,"5,517",
Walferdange,587,512,"1,521",113,"1,693",146,855,"5,427",
Weiler-la-Tour,97,155,478,33,394,26,136,"1,319",
Colmar-Berg,237,194,480,26,231,11,214,"1,393",
Bissen,369,306,634,74,297,15,255,"1,950",
Boevange-Attert,185,173,597,63,231,15,200,"1,464",
Fischbach,67,97,263,17,116,5,66,631,
Heffingen,120,97,259,26,162,6,65,735,
Larochette,340,196,375,32,187,11,269,"1,410",
Lintgen,393,289,683,37,289,16,210,"1,917",
Lorentzweiler,426,462,"1,016",76,588,26,72,"2,666",
Mersch,942,756,"1,808",164,898,48,"1,348","5,964",
Nommern,73,91,326,28,149,8,131,806,
Tuntange,63,91,285,44,222,8,185,898,
Wincrange,475,444,"1,045",108,270,11,409,"2,762",
Clervaux,292,218,475,58,215,11,318,"1,587",
Consthum,54,62,129,21,37,1,42,346,
Heinerscheid,177,153,345,37,82,3,85,882,
Hosingen,314,191,532,60,122,12,137,"1,368",
Munshausen,113,110,306,31,102,1,144,807,
Troisvierges,471,371,677,69,235,9,248,"2,080",
Weiswampach,193,170,396,31,116,4,133,"1,043",
Bettendorf,443,308,520,63,169,10,273,"1,786",
Bourscheid,123,111,365,34,103,7,241,984,
Diekirch,"1,024",820,"1,477",100,590,47,943,"5,001",
Ermsdorf,114,109,287,35,99,6,80,730,
Erpeldange,180,211,548,64,305,19,408,"1,735",
Ettelbruck,"1,246",901,"1,736",125,667,92,"1,115","5,882",
Feulen,222,198,432,45,124,10,123,"1,154",
Hoscheid,75,88,166,22,43,0,43,437,
Medernach,180,146,299,24,111,3,157,920,
Mertzig,181,186,435,49,143,7,209,"1,210",
Reisdorf,118,134,233,29,53,2,156,725,
Schieren,231,195,347,25,126,10,161,"1,095",
Beckerich,229,260,613,49,294,9,174,"1,628",
Préizerdaul,154,155,382,28,149,2,111,981,
Ell,79,117,303,23,171,2,76,771,
Rambrouch,429,379,988,87,432,22,451,"2,788",
Grosbous,100,92,283,24,72,3,75,649,
Redange,345,250,658,85,289,24,202,"1,853",
Saeul,61,50,180,19,109,3,60,482,
Useldange,186,187,391,45,160,6,123,"1,098",
Vichten,108,131,299,36,84,5,69,732,
Wahl,100,100,210,24,69,5,82,590,
Boulaide,120,105,256,17,91,2,124,715,
Esch-Sûre,33,29,66,2,33,4,71,238,
Eschweiler,89,88,237,16,75,4,116,625,
Goesdorf,128,140,372,36,122,6,110,914,
Lac Haute Sûre,184,158,399,34,135,2,200,"1,112",
Heiderscheid,219,151,396,34,137,6,158,"1,101",
Kiischpelt,107,102,277,33,88,5,125,737,
Neunhausen,39,38,103,8,29,1,28,246,
Wiltz,770,514,899,71,294,27,879,"3,454",
Winseler,95,97,278,26,122,8,160,786,
Tandel,175,159,482,59,156,5,174,"1,210",
Putscheid,160,113,283,27,78,3,39,703,
Vianden,273,164,353,47,95,6,359,"1,297",
Beaufort,321,247,548,43,149,14,232,"1,554",
Bech,75,94,255,20,167,8,161,780,
Berdorf,165,163,406,30,127,9,255,"1,155",
Consdorf,244,165,455,46,205,13,178,"1,306",
Echternach,921,560,"1,108",105,513,55,812,"4,074",
Mompach,129,97,301,17,113,1,104,762,
Rosport,262,212,624,57,187,9,136,"1,487",
Waldbillig,153,133,355,27,166,9,96,939,
Betzdorf,213,199,810,62,627,34,275,"2,220",
Biwer,166,194,468,34,212,5,131,"1,210",
Flaxweiler,177,177,458,37,229,9,125,"1,212",
Grevenmacher,747,444,"1,103",86,527,30,296,"3,233",
Junglinster,503,462,"1,629",152,"1,207",71,594,"4,618",
Manternach,142,163,425,38,196,12,283,"1,259",
Mertert,564,438,"1,045",84,340,15,441,"2,927",
Wormeldange,372,219,617,67,287,34,217,"1,813",
Bous,162,121,388,29,189,5,109,"1,003",
Burmerange,81,83,317,34,126,9,61,711,
Dalheim,213,177,508,44,225,14,216,"1,397",
Lenningen,130,130,392,29,269,13,147,"1,110",
Mondorf,537,460,997,90,512,33,813,"3,442",
Schengen,219,166,424,28,192,15,137,"1,181",
Remich,559,397,817,84,372,30,356,"2,615",
Stadtbredimus,171,132,463,41,210,5,146,"1,168",
Waldbredimus,71,79,244,24,150,9,85,662,
Wellenstein,170,131,383,29,165,9,193,"1,080",
