Année;1821;1871;1900;1947;1960;1970;1981;1990;2000;2010;2011;2012;2013;2014;2015;2016
Dippach;880;1298;1150;1224;1329;1620;2008;2520;3136;3537;3544;3627;3727;3859;4037;4071
Garnich;666;1216;1026;920;888;980;1111;1271;1504;1771;1861;1895;1931;1943;1991;2043
Hobscheid;1431;2061;2088;2033;1937;2094;2063;2126;2512;3026;3096;3173;3239;3271;3397;3434
Käerjeng;1781;2612;2609;3267;3938;5225;6072;6544;8411;9474;9671;9722;9799;9875;9979;10033
Kehlen;1528;2512;2096;1562;1629;1674;2727;3970;4883;4931;5048;5099;5223;5338;5375;5457
Koerich;964;1504;1343;1140;1250;1238;1392;1564;1837;2101;2283;2287;2294;2365;2440;2520
Kopstal;663;998;1019;1060;1484;2295;3023;3028;2990;3092;3097;3126;3167;3250;3337;3448
Mamer;1223;1956;1948;2070;2455;3123;5423;6197;6637;7499;7473;7666;7857;8173;8463;8695
Septfontaines;897;951;845;600;519;550;484;565;741;775;744;774;822;833;808;813
Steinfort;652;1165;1620;2149;2338;2582;2845;3258;4036;4422;4356;4504;4576;4700;4682;4762
Canton Esch;12078;20610;51964;94904;108379;114778;114483;115065;130809;150647;152479;154636;157757;160960;164604;167955
Bettembourg;1022;1519;2203;5061;5877;6623;7131;7962;9179;9818;9790;9772;9952;10038;10178;10400
Differdange;1655;2162;8756;15179;17637;17964;16726;16096;17300;21530;21935;22345;22769;23571;24304;24805
Dudelange;1398;1593;8741;12878;14617;14615;14072;14254;17060;18507;18781;18837;19292;19421;19734;20003
Esch-sur-Alzette;810;3946;10971;26851;27954;27574;25144;23936;25195;30147;30125;30863;31898;32600;33286;33939
Frisange;932;1358;1161;1137;1167;1342;1688;2037;2817;3722;3750;3780;3884;4023;4104;4344
Kayl;724;1949;4069;5471;6505;6691;6354;6346;7011;7821;7767;7887;7934;8021;8121;8247
Leudelange;282;656;694;714;788;1077;1340;1479;1690;2108;2148;2170;2241;2305;2400;2445
Mondercange;988;1216;1022;1253;2200;3262;3964;4743;6128;6209;6228;6286;6280;6351;6420;6510
Pétange;777;1290;4406;10456;11623;11844;12127;11909;13654;15582;16085;16438;16762;17265;17582;17973
Reckange-sur-Mess;578;928;842;722;801;1052;1406;1517;1730;2054;2138;2180;2179;2245;2297;2304
Roeser;915;1396;1372;1518;1767;2281;3038;3442;4408;5159;5302;5396;5432;5502;5736;5891
Rumelange;401;834;4601;4072;4271;3935;3711;3460;4080;5029;5038;5114;5168;5239;5338;5422
Sanem;1096;1289;1877;4468;7021;10078;11162;11287;12859;14421;14470;14619;14832;15047;15415;15748
Schifflange;500;474;1249;5124;6151;6440;6620;6597;7698;8540;8922;8949;9134;9332;9689;9924
Canton Luxembourg;23953;39755;52062;76900;89492;101654;114225;115082;128821;147017;151592;157397;162464;167199;172332;177969
Bertrange;822;1247;1177;1320;1677;2461;4000;4178;5229;6389;6213;6294;6435;6572;6869;7387
Contern;793;1249;1098;1236;1181;1639;2203;2641;3094;3483;3419;3497;3517;3517;3496;3511
Hesperange;1449;2145;2299;3218;3883;6293;9090;9702;10427;13163;13335;13628;14027;14175;14393;14650
Luxembourg;15091;26303;39488;61996;71653;76159;78912;74724;80670;90848;95058;99852;103641;107247;111287;115227
Niederanven;1580;2238;1950;1568;1760;2042;3393;4631;5592;5435;5424;5475;5552;5663;5737;5866
Sandweiler;468;937;942;895;1120;1927;2028;2116;2385;3150;3137;3219;3306;3405;3478;3450
Schuttrange;813;978;863;1051;1055;1224;1738;2151;3258;3534;3721;3781;3826;3923;4033;4147
Steinsel;1146;1372;1203;1427;1669;1911;2421;3172;4374;4665;4717;4738;4866;4921;5016;5171
Strassen;595;1366;1330;1446;1892;3085;4242;4853;5980;7218;7399;7554;7699;7941;8026;8497
Walferdange;594;1020;941;2132;3008;4279;5300;5853;6459;7291;7240;7404;7563;7715;7819;7818
Weiler-la-Tour;602;900;771;611;594;634;898;1061;1353;1841;1929;1955;2032;2120;2178;2245
Canton Mersch;10542;14999;12612;12447;12109;13814;16542;18970;22660;26213;27276;27895;28542;29275;29867;30382
Bissen;782;1377;1205;1096;1085;1323;1671;1754;2478;2750;2784;2787;2794;2816;2846;2879
Boevange-sur-Attert;833;1319;1003;948;859;878;1126;1360;1745;1945;2037;2079;2179;2250;2277;2280
Colmar-Berg;458;673;678;572;680;935;1176;1332;1648;1948;1919;1991;2006;2065;2108;2115
Fischbach;708;906;621;467;388;426;465;488;609;820;894;937;1016;1092;1139;1174
Heffingen;574;960;841;724;616;603;654;732;840;1045;1068;1102;1127;1166;1201;1239
Larochette;1104;1465;1324;1134;958;1137;1280;1437;1504;1969;2012;2023;2051;2094;2122;2101
Lintgen;1097;1381;1036;1303;1365;1532;1616;1790;2166;2483;2605;2685;2734;2770;2798;2811
Lorentzweiler;1133;1453;1186;1432;1462;1788;2448;2764;2912;3261;3531;3555;3586;3673;3723;3798
Mersch;2223;3360;2989;3367;3480;4004;4817;5752;6841;7655;7973;8216;8467;8639;8841;9046
Nommern;758;1043;873;723;600;620;663;792;947;1142;1178;1202;1218;1251;1313;1331
Tuntange;872;1062;856;681;616;568;626;769;970;1195;1275;1318;1364;1459;1499;1608
Clervaux;2468;4146;3945;3599;3196;3041;2834;3181;3315;4231;4358;4564;4603;4735;4815;4847
Parc Hosingen;2436;3528;3024;2112;1864;1685;1673;1774;2194;2929;2984;3083;3111;3201;3297;3350
Troisvierges;1362;1850;2597;2518;2006;1848;1858;1916;2339;2918;2919;2962;3017;3010;3039;3112
Weiswampach;1043;1701;1534;1290;1093;984;882;951;1092;1331;1362;1396;1440;1493;1572;1676
Wincrange;2542;5240;4671;3886;3299;2985;2633;2725;3176;3729;3782;3870;3944;4008;4099;4141
Bettendorf;1259;1930;1793;1457;1459;1559;1748;1923;2296;2506;2489;2505;2614;2633;2630;2659
Bourscheid;1127;1913;1606;1147;1026;966;924;1051;1072;1317;1336;1435;1501;1567;1647;1751
Diekirch;1793;3030;3838;3809;4397;5059;5585;5549;5786;6390;6318;6410;6518;6649;6728;6896
Erpeldange-sur-Sûre;604;754;676;593;646;864;1160;1503;2008;2220;2295;2324;2337;2347;2409;2396
Ettelbruck;1681;3401;3770;4452;5101;5990;6454;6720;7467;7700;7831;8013;8095;8278;8347;8541
Feulen;874;1100;947;827;729;723;1003;1175;1313;1572;1585;1563;1587;1671;1793;1903
Mertzig;576;1106;826;702;746;814;920;1051;1410;1705;1746;1826;1912;1952;1998;2080
Reisdorf;515;666;631;510;516;502;543;557;734;1027;1043;1090;1077;1132;1105;1121
Schieren;520;1000;804;754;845;965;1173;1241;1407;1531;1497;1591;1683;1769;1847;1902
Vallée de l'Ernz;1394;1998;1697;1405;1295;1312;1421;1646;1786;2223;2349;2375;2431;2462;2520;2570
Beckerich;1532;2115;2039;1729;1638;1570;1492;1618;2001;2284;2293;2336;2383;2405;2408;2437
Ell;788;1263;947;679;618;590;559;601;763;1081;1089;1151;1166;1191;1235;1230
Grosbous;595;724;672;593;497;460;577;616;760;883;887;913;892;919;937;992
Préizerdaul;850;1439;1051;859;742;745;809;879;1292;1372;1392;1405;1469;1574;1593;1621
Rambrouch;2724;4288;4150;3203;2705;2612;2540;2737;3190;3854;3898;4064;4025;4071;4169;4202
Redange-sur-Attert;1205;2097;1957;1765;1693;1782;1701;1812;2281;2480;2564;2621;2631;2631;2613;2609
Saeul;539;763;604;497;420;426;426;475;463;697;673;677;714;697;710;723
Useldange;901;1362;1062;1149;1031;1059;1040;1059;1373;1472;1537;1571;1575;1639;1688;1658
Vichten;444;801;685;493;488;512;574;636;802;1032;988;1020;1013;1038;1088;1186
Wahl;767;1247;1076;690;668;549;550;574;644;850;825;830;870;921;960;951
Putscheid;780;1350;1071;775;1034;660;600;628;714;958;995;1010;1040;1039;1070;1090
Tandel;1264;1799;1675;1241;1137;1121;1177;1199;1367;1725;1702;1737;1772;1819;1889;1943
Vianden;1440;1471;1241;1111;1605;1520;1500;1475;1414;1679;1731;1763;1809;1864;1888;1918
Canton Wiltz;9780;15768;12821;11545;10158;9481;8997;9492;11317;13623;13832;14129;14618;14946;15345;15680
Boulaide;758;1344;1115;938;727;639;533;562;708;927;970;997;1022;1019;1091;1122
Esch-sur-Sûre;2345;3184;2529;1770;1591;1439;1392;1476;1572;2096;2201;2298;2418;2435;2477;2572
Goesdorf;754;1263;1017;805;699;657;655;716;963;1264;1297;1303;1341;1404;1433;1466
Kiischpelt;921;1571;1346;1091;908;745;619;739;893;943;999;1024;1071;1091;1110;1114
Lac de la Haute-Sûre;1522;2543;1906;1506;1225;1088;1006;1094;1282;1575;1543;1537;1606;1647;1707;1722
Wiltz;2735;4696;3918;4649;4365;4320;4191;4267;5155;5702;5758;5903;6087;6243;6387;6522
Winseler;745;1167;990;786;643;593;601;638;744;1116;1064;1067;1073;1107;1140;1162
Beaufort;1337;1514;1358;948;802;819;916;1104;1406;2126;2254;2273;2372;2412;2478;2545
Bech;766;1252;1324;893;739;688;715;793;985;1034;1078;1130;1160;1187;1260;1231
Berdorf;580;901;804;841;839;831;852;876;1165;1600;1696;1866;1882;1853;1826;1931
Consdorf;1449;1626;1510;1129;1039;1056;1194;1424;1649;1803;1823;1814;1827;1845;1883;1902
Echternach;3251;3822;3523;3141;3389;3792;4149;4391;4509;4902;5336;5388;5367;5382;5344;5249
Mompach;825;1065;1096;968;900;772;796;853;893;1047;1065;1103;1181;1212;1243;1283
Rosport;1383;1773;1884;1478;1332;1247;1343;1432;1790;2051;2076;2096;2097;2109;2140;2222
Waldbillig;1105;1262;1140;895;780;729;684;776;1025;1478;1342;1354;1390;1477;1554;1644
Betzdorf;1153;1497;1352;1314;1365;1530;1654;1972;2289;3196;3236;3299;3467;3542;3578;3637
Biwer;626;1042;1169;1083;1070;1035;1005;1127;1404;1647;1653;1686;1741;1787;1821;1857
Flaxweiler;1347;1933;1750;1397;1265;1163;1077;1087;1409;1725;1769;1814;1838;1890;1890;1978
Grevenmacher;2014;2528;2596;2543;2722;2918;2996;2996;3747;4260;4368;4440;4526;4647;4751;4794
Junglinster;2145;3187;2828;2540;2522;2662;3657;4606;5561;6341;6482;6547;6630;6782;7094;7261
Manternach;1010;1444;1438;1119;1001;981;948;1058;1267;1718;1761;1813;1824;1886;1885;1916
Mertert;802;1301;1952;2474;2814;3011;3053;3042;3328;3631;3852;4012;4145;4238;4286;4364
Wormeldange;1999;2409;2422;1976;1888;1969;2013;2105;2274;2451;2478;2524;2502;2523;2654;2685
Bous;1217;1531;1372;892;813;776;747;809;1060;1319;1403;1445;1434;1450;1480;1518
Dalheim;1082;1603;1473;1205;1088;1044;1229;1381;1703;1980;1942;1971;1995;2012;2033;2045
Lenningen;1070;1364;1038;869;786;814;912;1007;1204;1654;1644;1705;1739;1768;1805;1800
Mondorf-les-Bains;1217;1632;1455;1739;1757;2062;2510;2821;3593;4530;4393;4445;4446;4637;4651;4800
Remich;1742;2251;1974;1716;1801;2138;2376;2496;2917;3217;3332;3421;3442;3443;3476;3482
Schengen;3377;3670;3228;2909;2613;2659;2602;2656;3457;4100;4093;4161;4223;4313;4459;4615
Stadtbredimus;961;1124;1004;724;667;652;754;857;1274;1466;1556;1580;1601;1634;1674;1794
Waldbredimus;563;810;643;533;498;482;664;707;817;966;901;931;965;949;942;929
