COMMUNE_CODE,COMMUNE_NOM,NOMBRE_ENFANTS,NOMBRE_PARENTS
1,Luxembourg,1,15472
1,Luxembourg,2,18353
1,Luxembourg,3,6787
1,Luxembourg,4,1860
1,Luxembourg,5,500
1,Luxembourg,6,151
1,Luxembourg,7,59
1,Luxembourg,8,23
1,Luxembourg,9,11
1,Luxembourg,10,10
1,Luxembourg,11,1
1,Luxembourg,12,3
1,Luxembourg,14,1
203,Dippach,1,657
203,Dippach,2,1025
203,Dippach,3,368
203,Dippach,4,100
203,Dippach,5,20
203,Dippach,6,3
203,Dippach,8,4
204,Garnich,1,301
204,Garnich,2,547
204,Garnich,3,179
204,Garnich,4,37
204,Garnich,5,15
204,Garnich,6,3
204,Garnich,7,1
204,Garnich,12,2
205,Hobscheid,1,539
205,Hobscheid,2,790
205,Hobscheid,3,310
205,Hobscheid,4,88
205,Hobscheid,5,8
205,Hobscheid,6,4
205,Hobscheid,7,3
205,Hobscheid,10,1
206,Kehlen,1,857
206,Kehlen,2,1441
206,Kehlen,3,567
206,Kehlen,4,132
206,Kehlen,5,24
206,Kehlen,6,7
206,Kehlen,7,2
207,Koerich,1,353
207,Koerich,2,601
207,Koerich,3,228
207,Koerich,4,55
207,Koerich,5,22
207,Koerich,6,7
207,Koerich,10,1
208,Kopstal,1,512
208,Kopstal,2,869
208,Kopstal,3,335
208,Kopstal,4,100
208,Kopstal,5,16
208,Kopstal,6,8
209,Mamer,1,1266
209,Mamer,2,2349
209,Mamer,3,843
209,Mamer,4,186
209,Mamer,5,37
209,Mamer,6,6
209,Mamer,7,5
209,Mamer,8,2
209,Mamer,9,1
209,Mamer,12,1
210,Septfontaines,1,122
210,Septfontaines,2,175
210,Septfontaines,3,72
210,Septfontaines,4,31
210,Septfontaines,5,3
210,Septfontaines,6,2
210,Septfontaines,7,1
211,Steinfort,1,766
211,Steinfort,2,1201
211,Steinfort,3,467
211,Steinfort,4,125
211,Steinfort,5,26
211,Steinfort,6,19
211,Steinfort,7,2
211,Steinfort,9,2
212,Käerjeng,1,1735
212,Käerjeng,2,2498
212,Käerjeng,3,898
212,Käerjeng,4,245
212,Käerjeng,5,57
212,Käerjeng,6,25
212,Käerjeng,7,13
212,Käerjeng,12,2
