Spécification_Ecoles;Cycle 1 - précoce_Élèves;Cycle 1 - précoce_Classes;Cycle 1 - précoce_Élèves;Cycle 1 - préscolaire_Classes;Cycle 2-4_Élèves;Cycle 2-4_Classes;Total_Élèves;Total_Classes
Äerenzdall;26;2;72;5;184;12;282;19
Beaufort;29;2;71;5;217;14;317;21
Beckerich;14;1;34;3;135;12;183;16
Berdorf;22;1;32;2;130;8;184;11
Bertrange;40;3;134;8;335;22;509;33
Bettembourg;73;4;214;14;657;43;944;61
Bettendorf;17;1;49;4;178;14;244;19
Betzdorf;52;3;105;6;266;17;423;26
Bissen;25;1;79;4;218;12;322;17
Biwer;18;1;43;2;99;7;160;10
Boevange/Attert;23;1;46;3;157;12;226;16
Bourscheid;17;1;34;2;89;3;140;6
Bous;13;1;31;2;86;6;130;9
Clervaux;39;1;90;5;310;18;439;24
Colmar-Berg;21;1;48;3;133;10;202;14
Consdorf;18;1;49;3;117;8;184;12
Contern;30;2;67;5;181;12;278;19
Dalheim;18;1;45;3;111;7;174;11
Diekirch;59;3;100;8;348;22;507;33
Differdange;244;13;584;40;1891;127;2719;180
Dippach;2;1;53;4;224;16;279;21
Dudelange;136;7;424;27;1345;85;1905;119
Echternach;18;1;111;4;361;25;490;30
Ell;4;1;31;2;87;6;122;9
Erpeldange;16;1;47;3;146;9;209;13
Esch-sur-Alzette;212;12;792;48;2254;126;3258;186
Esch-sur-Sûre;19;1;50;3;179;12;248;16
Ettelbruck;58;4;175;5;552;29;785;38
Feulen;25;1;55;3;135;10;215;14
Fischbach;14;1;36;2;97;6;147;9
Frisange;27;2;92;5;217;6;336;13
Garnich;16;1;37;3;152;10;205;14
Goesdorf;20;1;33;2;102;8;155;11
Grevenmacher;41;2;90;7;297;21;428;30
Grosbous;9;-;16;2;66;6;91;8
Heffingen;15;1;31;2;94;7;140;10
Hesperange;103;6;282;17;710;50;1095;73
Hobscheid;38;2;73;5;196;13;307;20
Junglinster;65;4;144;9;409;26;618;39
Käerjeng;36;2;169;12;567;37;772;51
Kayl;61;4;192;12;543;36;796;52
Kehlen;31;2;78;6;267;17;376;25
Koerich;22;1;52;4;151;12;225;17
Kopstal;18;1;67;5;158;10;243;16
Larochette;16;1;68;5;171;12;255;18
Lenningen;17;1;43;3;155;11;215;15
Leudelange;20;1;54;3;137;11;211;15
Lintgen;20;1;54;4;144;12;218;17
Lorentzweiler;31;2;74;5;164;11;269;18
Luxembourg;408;26;1224;90;3207;245;4839;361
Mamer;89;5;193;11;469;31;751;47
Mersch;62;3;201;12;556;34;819;49
Mertert;44;2;93;6;261;17;398;25
Mertzig;21;1;74;5;143;11;238;17
Mompach;11;-;28;1;77;6;116;7
Mondercange;40;2;122;7;336;20;498;29
Mondorf-les-Bains;34;2;88;5;259;18;381;25
Niederanven;54;3;84;5;267;17;405;25
Nommern;16;1;31;2;97;7;144;10
Pétange;129;4;425;27;1300;81;1854;112
Préizerdaul;14;1;28;2;95;6;137;9
Rambrouch;34;2;70;5;268;18;372;25
Reckange-sur-Mess;14;1;49;3;144;9;207;13
Redange-sur-Attert;11;1;56;3;166;10;233;14
Reisdorf;12;1;29;3;104;7;145;11
Remich;15;1;54;5;191;16;260;22
Roeser;57;3;100;6;280;17;437;26
Rosport;24;1;47;3;144;12;215;16
Rumelange;39;2;130;9;467;30;636;41
Saeul;-;-;14;1;49;3;63;4
Sandweiler;19;1;69;4;178;12;266;17
Sanem;130;7;289;18;1000;65;1419;90
Schengen;42;3;105;7;294;19;441;29
Schieren;12;1;38;3;140;9;190;13
Schifflange;77;3;232;13;711;40;1020;56
Schuttrange;43;2;63;5;188;12;294;19
Septfontaines;-;-;12;1;46;3;58;4
Stadtbredimus;16;1;34;2;98;7;148;10
Steinfort;46;2;96;6;264;18;406;26
Steinsel;45;3;92;6;259;17;396;26
Strassen;61;4;149;10;372;26;582;40
Syndicat Billek;37;2;88;5;248;18;373;25
Syndicat Harlange;34;2;72;5;270;17;376;24
Syndicat Schoulkauz;19;-;58;4;142;9;219;13
Syndicat Sispolo;50;2;111;8;347;9;508;19
Syndicat Synécosport;25;2;67;5;192;14;284;21
Tandel;27;1;48;4;156;13;231;18
Troisvierges;34;2;82;6;234;15;350;23
Tuntange;17;1;37;3;100;5;154;9
Useldange;17;1;40;3;110;8;167;12
Vianden;11;-;38;3;118;10;167;13
Vichten;11;-;35;2;68;3;114;5
Wahl;10;1;34;2;63;6;107;9
Waldbillig;25;1;43;3;119;8;187;12
Waldbredimus;8;-;26;2;57;6;91;8
Walferdange;50;3;136;9;392;27;578;39
Weiler-la-Tour;29;2;68;4;196;12;293;18
Weiswampach;17;-;25;2;83;6;125;8
Wiltz;50;1;144;9;421;27;615;37
Wincrange;29;2;78;3;263;9;370;14
