ANNEE,COMMUNE_CODE,COMMUNE_NOM,NAISSANCE_HOMMES,NAISSANCE_FEMMES,DECES_HOMMES,DECES_FEMMES
2015,1101,Beaufort,0,0,2,2
2016,1101,Beaufort,0,0,2,1
2017,1101,Beaufort,0,0,1,1
2016,1102,Bech,0,0,1,0
2015,0802,Beckerich,0,0,3,1
2016,0802,Beckerich,0,0,6,1
2017,0802,Beckerich,0,0,0,1
2015,1103,Berdorf,0,0,2,1
2016,1103,Berdorf,0,0,1,1
2015,0401,Bertrange,1,0,14,27
2016,0401,Bertrange,0,0,10,22
2017,0401,Bertrange,0,0,2,4
2015,0301,Bettembourg,0,0,23,46
2016,0301,Bettembourg,0,0,28,40
2017,0301,Bettembourg,0,0,3,8
2015,0702,Bettendorf,0,0,2,2
2016,0702,Bettendorf,0,0,4,0
2015,1201,Betzdorf,0,0,5,0
2016,1201,Betzdorf,0,0,2,4
2015,0502,Bissen,0,0,1,2
2016,0502,Bissen,0,0,6,0
2015,1202,Biwer,0,0,0,3
2016,1202,Biwer,0,0,0,2
2015,0503,Boevange-sur-Attert,1,0,1,0
2016,0503,Boevange-sur-Attert,0,1,0,2
2015,0901,Boulaide,0,0,1,1
2016,0901,Boulaide,0,0,2,2
2015,0703,Bourscheid,0,0,2,2
2016,0703,Bourscheid,0,0,2,1
2015,1300,Bous,0,0,3,1
2016,1300,Bous,0,0,2,1
2015,0611,Clervaux,0,0,14,25
2016,0611,Clervaux,0,0,13,24
2017,0611,Clervaux,0,0,4,1
2015,0501,Colmar-Berg,0,0,1,1
2016,0501,Colmar-Berg,0,1,1,0
2015,1104,Consdorf,0,0,2,5
2016,1104,Consdorf,0,0,1,3
2017,1104,Consdorf,0,0,1,0
2015,0402,Contern,0,0,8,7
2016,0402,Contern,0,1,18,23
2017,0402,Contern,0,0,1,2
2015,1302,Dalheim,0,0,2,1
2016,1302,Dalheim,0,0,2,0
2015,0704,Diekirch,0,0,6,20
2016,0704,Diekirch,0,0,19,19
2017,0704,Diekirch,0,0,4,5
2015,0302,Differdange,0,1,106,124
2016,0302,Differdange,1,0,108,113
2017,0302,Differdange,0,0,24,17
2015,0203,Dippach,0,1,1,1
2016,0203,Dippach,0,0,1,1
2015,0303,Dudelange,0,0,45,36
2016,0303,Dudelange,0,1,37,64
2017,0303,Dudelange,0,0,6,7
2015,1105,Echternach,0,0,11,22
2016,1105,Echternach,0,0,20,25
2017,1105,Echternach,0,0,2,3
2015,0805,Ell,0,0,5,2
2016,0805,Ell,0,0,2,3
2017,0805,Ell,0,0,0,1
2015,0706,Erpeldange-sur-Sûre,0,1,15,15
2016,0706,Erpeldange-sur-Sûre,0,0,13,19
2015,0304,Esch-sur-Alzette,557,504,357,296
2016,0304,Esch-sur-Alzette,533,500,342,262
2017,0304,Esch-sur-Alzette,67,58,50,39
2015,0915,Esch-sur-Sûre,0,0,5,5
2016,0915,Esch-sur-Sûre,0,0,3,2
2015,0707,Ettelbruck,427,408,161,150
2016,0707,Ettelbruck,396,342,202,181
2017,0707,Ettelbruck,48,51,16,26
2016,0708,Feulen,0,0,1,0
2017,0708,Feulen,0,0,0,1
2015,0504,Fischbach,0,0,1,1
2016,0504,Fischbach,0,0,0,2
2015,1203,Flaxweiler,0,0,2,4
2016,1203,Flaxweiler,0,0,1,0
2017,1203,Flaxweiler,0,0,2,0
2015,0305,Frisange,0,0,4,4
2016,0305,Frisange,0,0,5,3
2015,0204,Garnich,0,0,1,0
2016,0204,Garnich,0,1,3,1
2017,0204,Garnich,0,0,0,2
2015,0904,Goesdorf,0,0,1,0
2016,0904,Goesdorf,0,0,0,1
2015,1204,Grevenmacher,0,0,12,17
2016,1204,Grevenmacher,1,0,7,10
2017,1204,Grevenmacher,0,0,0,3
2016,0807,Grosbous,0,0,0,1
2015,0505,Heffingen,0,0,2,0
2016,0505,Heffingen,0,0,1,1
2015,0403,Hesperange,0,0,11,15
2016,0403,Hesperange,0,0,15,14
2017,0403,Hesperange,0,0,0,4
2015,0205,Hobscheid,0,0,3,1
2016,0205,Hobscheid,0,0,0,3
2015,1205,Junglinster,0,1,6,14
