COMMUNE_CODE;COMMUNE_NOM;SEXE;AGE00_05;AGE05_10;AGE10_15;AGE15_20;AGE20_25;AGE25_30;AGE30_35;AGE35_40;AGE40_45;AGE45_50;AGE50_55;AGE55_60;AGE60_65;AGE65_70;AGE70_75;AGE75_80;AGE80_85;AGE85_90;AGE90_95;AGE95_100;AGE100_
1101;Beaufort;F;74;93;88;89;65;89;78;112;121;111;100;70;66;37;36;26;15;16;4;1;0
1101;Beaufort;M;94;84;99;100;90;98;85;106;129;126;118;92;69;34;33;20;12;7;0;0;0
1102;Bech;F;34;31;46;36;42;28;45;38;61;53;54;49;42;34;14;20;12;5;5;0;0
1102;Bech;M;34;37;40;47;54;32;45;37;60;66;70;69;38;32;22;21;17;3;1;0;0
0802;Beckerich;F;55;63;60;87;98;87;78;68;92;97;97;115;77;46;42;24;31;14;7;0;0
0802;Beckerich;M;71;70;78;102;98;96;61;77;86;90;104;110;71;48;35;27;15;12;4;1;0
1103;Berdorf;F;54;61;62;59;54;70;73;73;61;59;76;58;55;35;20;23;28;5;1;2;0
1103;Berdorf;M;46;76;82;57;58;59;67;49;69;81;75;57;48;38;31;14;9;7;2;0;0
0401;Bertrange;F;203;240;202;246;192;229;293;318;331;322;308;228;214;205;157;128;93;82;31;5;1
0401;Bertrange;M;220;227;239;214;252;245;268;333;326;323;309;233;205;208;114;112;75;45;10;0;0
0301;Bettembourg;F;277;273;275;296;301;345;370;414;394;386;404;383;317;260;196;174;173;141;53;14;4
0301;Bettembourg;M;319;306;311;307;339;342;357;386;357;401;391;370;349;233;192;149;105;64;13;1;1
0702;Bettendorf;F;69;75;88;88;107;107;91;76;84;102;107;88;75;76;44;39;31;10;1;1;0
0702;Bettendorf;M;75;71;81;109;112;102;77;78;103;107;118;113;81;64;53;31;23;6;1;0;0
1201;Betzdorf;F;99;135;119;124;97;109;108;156;151;169;159;129;113;69;61;39;28;15;10;0;0
1201;Betzdorf;M;125;160;117;146;117;116;111;137;158;161;163;133;85;86;67;18;18;10;1;0;0
0502;Bissen;F;68;89;92;107;127;96;89;95;119;133;128;88;76;54;54;48;30;9;3;0;0
0502;Bissen;M;70;85;98;111;104;116;105;105;101;133;134;121;66;57;53;38;19;11;1;0;0
1202;Biwer;F;57;47;41;64;39;50;50;75;65;76;82;63;60;37;26;19;20;7;3;0;0
1202;Biwer;M;40;56;57;58;67;63;53;64;70;82;88;60;66;44;38;12;13;4;1;0;0
0503;Boevange-sur-Attert;F;71;69;56;62;60;58;73;100;65;106;88;85;87;51;36;31;18;14;3;1;0
0503;Boevange-sur-Attert;M;78;80;68;68;94;71;87;89;82;105;94;82;80;62;41;32;15;7;1;0;0
0901;Boulaide;F;30;31;42;42;42;46;38;39;44;44;46;39;41;34;19;15;15;9;5;0;0
0901;Boulaide;M;38;37;27;40;24;46;42;37;36;57;53;45;49;33;32;9;12;6;0;0;0
0703;Bourscheid;F;47;54;38;59;64;55;61;71;61;64;59;46;48;28;16;22;14;10;6;0;0
0703;Bourscheid;M;56;54;49;51;84;91;72;78;59;83;80;71;32;36;18;15;14;4;2;1;0
1300;Bous;F;46;32;32;46;60;49;57;64;55;74;69;55;44;24;15;22;23;8;3;0;0
1300;Bous;M;33;48;45;56;41;55;55;66;49;85;74;59;43;29;13;9;10;9;0;0;0
0611;Clervaux;F;127;131;136;144;172;194;172;162;171;175;194;174;142;111;60;86;70;47;31;6;0
0611;Clervaux;M;152;153;133;166;179;186;178;178;172;199;205;181;172;122;67;58;43;25;5;2;0
0501;Colmar-Berg;F;78;52;52;56;67;81;99;98;81;74;80;62;67;39;39;22;23;14;2;1;0
0501;Colmar-Berg;M;68;73;60;68;93;80;90;108;86;69;71;68;47;44;40;19;10;11;1;1;0
1104;Consdorf;F;45;50;51;75;68;66;57;61;71;71;80;75;62;39;20;23;25;14;4;2;0
1104;Consdorf;M;66;67;54;69;81;57;54;58;69;85;82;73;66;45;32;19;16;8;2;0;0
0402;Contern;F;91;97;87;131;121;94;93;136;134;141;152;139;99;103;86;51;52;47;23;5;2
0402;Contern;M;93;114;95;107;131;98;101;136;138;129;157;132;106;101;80;73;36;21;8;3;0
1302;Dalheim;F;56;54;63;67;75;67;78;75;74;87;83;81;72;51;39;32;15;6;3;0;0
1302;Dalheim;M;59;66;62;81;55;74;62;75;81;80;80;109;59;56;49;20;12;5;1;0;0
0704;Diekirch;F;137;141;143;181;221;268;198;200;202;240;268;200;190;163;150;123;101;80;49;10;3
0704;Diekirch;M;150;148;141;197;259;311;230;223;217;253;288;219;158;138;122;104;69;35;9;1;0
0302;Differdange;F;733;706;818;857;980;1018;911;954;925;942;879;683;512;434;385;377;274;185;54;8;1
0302;Differdange;M;781;832;818;870;891;1027;1001;955;1050;1005;1015;703;560;423;322;253;194;117;19;4;0
0203;Dippach;F;98;88;105;110;133;123;130;141;150;170;186;159;137;120;69;57;38;25;4;2;0
0203;Dippach;M;91;109;121;133;143;140;123;139;134;182;212;158;139;117;84;50;28;20;3;1;0
0303;Dudelange;F;494;565;553;580;674;655;697;723;694;837;808;718;558;474;404;355;280;218;98;26;7
0303;Dudelange;I;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0303;Dudelange;M;487;574;618;621;739;663;700;723;712;789;890;736;602;476;369;262;197;132;31;2;4
1105;Echternach;F;141;106;132;156;166;153;185;164;213;192;213;170;164;157;141;128;95;81;50;12;0
1105;Echternach;M;122;132;171;176;173;175;191;187;200;210;211;171;144;137;118;86;65;36;12;2;1
0805;Ell;F;16;38;42;47;34;32;34;45;55;69;51;43;23;27;16;12;11;11;1;2;0
0805;Ell;M;32;35;46;43;49;32;36;52;46;71;58;49;32;31;19;9;7;1;4;1;0
0706;Erpeldange-sur-Sûre;F;43;51;48;67;62;81;82;69;83;79;92;102;88;60;49;43;45;31;9;2;0
0706;Erpeldange-sur-Sûre;M;50;63;67;58;83;92;77;70;71;91;99;93;94;55;64;32;28;13;3;0;0
0304;Esch-sur-Alzette;F;924;1007;930;993;1158;1242;1318;1260;1205;1261;1202;1023;871;653;632;562;471;323;141;35;2
0304;Esch-sur-Alzette;M;1014;922;998;1070;1137;1286;1321;1288;1312;1364;1405;1140;883;670;534;406;272;188;43;6;1
0915;Esch-sur-Sûre;F;79;87;89;75;78;92;90;93;96;102;105;67;64;53;35;22;18;17;1;0;0
0915;Esch-sur-Sûre;M;76;77;79;87;98;117;117;101;104;113;115;76;65;54;43;28;22;11;3;0;0
0707;Ettelbruck;F;213;221;237;261;333;306;292;278;298;299;345;306;289;195;169;151;148;82;40;4;3
0707;Ettelbruck;M;221;226;248;266;309;351;283;290;290;319;366;305;271;205;140;101;86;47;10;3;0
0708;Feulen;F;48;62;58;61;79;67;77;94;86;69;69;58;64;51;34;16;16;6;7;2;0
0708;Feulen;M;66;62;61;58;74;55;63;93;84;77;69;61;55;54;41;23;16;6;1;1;0
0504;Fischbach;F;38;40;40;32;32;40;65;43;62;49;38;34;23;15;8;11;6;5;0;2;0
0504;Fischbach;M;61;48;35;32;29;38;53;56;46;51;49;50;29;16;8;9;4;1;0;0;0
1203;Flaxweiler;F;59;59;67;74;46;51;46;93;84;98;86;82;37;35;24;25;19;13;3;0;0
1203;Flaxweiler;M;54;57;68;76;75;69;48;63;95;99;96;82;55;44;32;14;19;5;0;1;0
0305;Frisange;F;140;129;99;126;136;152;177;196;183;151;183;165;151;111;82;44;36;16;5;1;0
0305;Frisange;M;137;113;129;114;144;159;170;165;172;185;176;173;164;115;69;50;28;18;4;0;0
0204;Garnich;F;59;58;85;58;60;49;63;81;92;87;90;70;61;47;28;30;12;11;6;0;0
0204;Garnich;I;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0204;Garnich;M;61;70;67;57;59;60;65;73;87;91;81;77;75;45;31;30;12;0;1;0;0
0904;Goesdorf;F;39;38;44;55;56;55;52;54;65;66;54;51;34;42;13;24;7;4;4;0;0
0904;Goesdorf;M;46;45;45;61;51;46;41;46;69;79;72;57;44;38;23;12;8;2;0;0;0
1204;Grevenmacher;F;113;120;139;139;193;172;169;184;155;206;182;166;140;118;80;97;67;52;29;3;0
1204;Grevenmacher;M;115;138;126;138;146;171;151;174;179;203;227;186;148;115;72;50;33;18;8;2;0
0807;Grosbous;F;24;35;23;41;31;53;38;28;42;38;48;26;31;21;13;12;3;5;5;0;0
0807;Grosbous;M;31;29;33;32;48;44;38;30;39;48;33;35;30;24;14;14;3;4;0;0;0
0505;Heffingen;F;32;58;44;33;46;44;56;52;60;46;61;38;32;24;13;12;13;5;4;1;0
0505;Heffingen;M;39;42;41;45;36;38;34;61;59;57;51;55;26;29;17;12;5;3;2;0;0
0403;Hesperange;F;472;429;341;318;356;490;638;697;636;615;539;502;417;352;316;280;218;135;48;13;5
0403;Hesperange;M;468;445;373;342;365;507;589;691;659;660;564;495;395;327;265;224;157;111;25;3;1
0205;Hobscheid;F;89;98;85;109;111;115;138;117;141;149;143;104;98;61;53;54;54;22;7;0;0
0205;Hobscheid;M;84;95;110;107;139;108;121;127;147;138;181;126;96;72;66;44;33;27;3;0;0
1205;Junglinster;F;221;227;221;197;226;250;244;278;304;320;292;250;227;173;158;107;66;44;20;4;0
1205;Junglinster;M;198;227;214;228;249;237;221;296;276;301;305;245;218;169;135;90;59;33;4;2;0
0212;Käerjeng;F;225;240;248;367;338;284;292;329;379;462;420;402;295;247;196;187;138;125;53;11;4
0212;Käerjeng;M;231;256;290;334;358;299;270;304;320;412;472;386;273;257;165;161;124;70;17;1;0
0306;Kayl;F;221;252;255;264;312;307;333;303;325;349;351;299;254;189;134;147;127;88;25;4;1
0306;Kayl;M;259;227;220;281;312;296;316;321;314;371;397;326;241;175;145;96;88;51;12;0;0
0206;Kehlen;F;146;154;140;170;161;140;204;219;214;249;254;240;222;163;128;97;45;35;8;2;0
0206;Kehlen;M;145;164;165;164;194;167;186;207;208;231;258;235;187;176;132;80;62;26;8;2;0
0914;Kiischpelt;F;32;42;35;39;38;43;30;29;46;45;46;45;22;23;18;17;14;12;3;0;0
0914;Kiischpelt;M;31;45;24;32;33;40;40;36;30;47;58;45;39;29;18;14;9;10;3;1;0
0207;Koerich;F;72;75;86;88;71;67;58;112;102;112;89;86;57;63;34;24;18;15;5;0;0
0207;Koerich;M;73;87;100;90;88;72;74;95;96;110;103;80;86;59;38;29;10;5;2;1;0
0208;Kopstal;F;102;122;104;99;114;96;120;139;149;166;127;103;98;95;76;91;46;32;6;1;0
0208;Kopstal;M;105;97;131;128;100;99;121;113;154;149;150;117;95;83;73;50;46;23;4;1;0
0905;Lac de la Haute-Sûre;F;55;61;59;73;36;57;45;67;68;78;65;54;59;47;31;17;17;10;1;0;0
0905;Lac de la Haute-Sûre;M;54;53;60;61;61;52;63;59;64;96;73;79;65;42;36;24;14;5;5;1;0
